GlobalId,Name,Level,operational_carbon,energy_intensity,category
0wkEuT1wr1kOyafLY4vy4F,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157984,A202,16.9,6.5,Door
0wkEuT1wr1kOyafLY4vy6l,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158080,B203,25.9,14.9,Door
0wkEuT1wr1kOyafLY4vy6k,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158081,B203,24.8,7.9,Door
0wkEuT1wr1kOyafLY4vyMO,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:159159,B103,19.3,20.9,Door
0wkEuT1wr1kOyafLY4vyOn,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:159262,B103,21.6,11.2,Door
2OBrcmyk58NupXoVOHUvGQ,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:160671,B103,40.2,5.5,Door
2OBrcmyk58NupXoVOHUvH8,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:160717,B103,16.8,13.2,Door
2OBrcmyk58NupXoVOHUv88,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:161165,B103,65.2,38.1,Other
2OBrcmyk58NupXoVOHUv3h,M_Counter Top:600mm Depth:600mm Depth:161646,B103,108.5,29.5,Other
2OBrcmyk58NupXoVOHUvup,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162230,B103,24.9,16.2,Door
2OBrcmyk58NupXoVOHUvuo,M_Counter Top:600mm Depth:600mm Depth:162231,B103,70.8,44.2,Other
2OBrcmyk58NupXoVOHUvs2,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162311,B103,22.5,16.6,Door
2OBrcmyk58NupXoVOHUvsm,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162357,B103,19.4,13.2,Door
2OBrcmyk58NupXoVOHUvtA,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162383,B103,38.1,16.8,Door
2OBrcmyk58NupXoVOHUvqp,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162486,A103,20.5,20.2,Door
2OBrcmyk58NupXoVOHUvqo,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162487,A103,19.4,13.2,Door
2OBrcmyk58NupXoVOHUvqz,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162488,A103,30.5,10.3,Door
2OBrcmyk58NupXoVOHUvqy,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162489,A103,29.4,19.3,Door
2OBrcmyk58NupXoVOHUvq$,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:162490,A103,102.9,18.4,Other
2OBrcmyk58NupXoVOHUvq_,M_Counter Top:600mm Depth:600mm Depth:162491,A103,50.8,28.0,Other
2OBrcmyk58NupXoVOHUvqu,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162493,A103,25.0,7.3,Door
2OBrcmyk58NupXoVOHUvqx,M_Counter Top:600mm Depth:600mm Depth:162494,A103,75.3,17.3,Other
2OBrcmyk58NupXoVOHUvqw,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162495,A103,27.2,5.3,Door
2OBrcmyk58NupXoVOHUvr5,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162496,A103,24.7,14.6,Door
2OBrcmyk58NupXoVOHUvr4,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162497,A103,23.6,7.6,Door
2OBrcmyk58NupXoVOHUshs,M_Sofa:1830mm:1830mm:167283,B102,58.6,22.1,Other
2OBrcmyk58NupXoVOHUsc7,M_Sofa:1830mm:1830mm:167426,B102,104.1,32.5,Other
2OBrcmyk58NupXoVOHUsab,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:167584,B102,145.2,40.9,Other
2OBrcmyk58NupXoVOHUsbY,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:167655,B102,137.4,15.8,Other
2OBrcmyk58NupXoVOHUtVQ,M_Table-Coffee:0915 x 1830 x 0457mm:0915 x 1830 x 0457mm:168031,B102,118.5,37.6,Other
2OBrcmyk58NupXoVOHUtOy,M_Sofa:1830mm:1830mm:168377,A102,40.8,20.9,Other
2OBrcmyk58NupXoVOHUtO$,M_Sofa:1830mm:1830mm:168378,A102,66.3,45.1,Other
2OBrcmyk58NupXoVOHUtO_,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:168379,A102,125.2,24.7,Other
2OBrcmyk58NupXoVOHUtOv,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:168380,A102,148.5,30.9,Other
2OBrcmyk58NupXoVOHUtOu,M_Table-Coffee:0915 x 1830 x 0457mm:0915 x 1830 x 0457mm:168381,A102,147.4,23.9,Other
2OBrcmyk58NupXoVOHUtM4,M_Bed-Standard:1525 x 2007mm - Queen:1525 x 2007mm - Queen:168449,B203,80.7,19.2,Other
2OBrcmyk58NupXoVOHUtI8,M_Bed-Standard:1981 x 2032mm - King:1981 x 2032mm - King:168717,A202,80.7,19.2,Other
2OBrcmyk58NupXoVOHUtHN,M_Bed-Standard:1981 x 2032mm - King:1981 x 2032mm - King:168914,B202,101.8,42.4,Other
2OBrcmyk58NupXoVOHUtEr,M_Bed-Standard:1525 x 2007mm - Queen:1525 x 2007mm - Queen:169008,A203,134.1,25.8,Other
0iEHWY1$XA8eQeeULq4j7w,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:191401,A103,366.4,87.5,Wall
0iEHWY1$XA8eQeeULq4jOM,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:191557,A103,348.6,53.3,Wall
0iEHWY1$XA8eQeeULq4jQJ,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:191680,A103,347.5,46.3,Wall
0iEHWY1$XA8eQeeULq4jTB,M_Upper Cabinet-Double Door-Wall:1000mm:1000mm:191768,A103,342.0,57.3,Wall
0iEHWY1$XA8eQeeULq4jJA,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:192153,B103,331.9,72.1,Wall
0iEHWY1$XA8eQeeULq4jKO,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:192331,B103,346.4,85.3,Wall
0iEHWY1$XA8eQeeULq4jMl,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:192508,B103,377.5,72.6,Wall
0iEHWY1$XA8eQeeULq4ien,M_Upper Cabinet-Double Door-Wall:1000mm:1000mm:192610,B103,402.0,63.9,Wall
2gRXFgjRn2HPE$YoDLX0mp,M_Vanity Cabinet-Double Door Sink Unit:650 x 450 mm:650 x 450 mm:204934,B204,14.2,11.0,Door
2gRXFgjRn2HPE$YoDLX0q2,M_Vanity Cabinet-Double Door Sink Unit:650 x 450 mm:650 x 450 mm:205239,B204,18.4,5.4,Door
2gRXFgjRn2HPE$YoDLX0rb,M_Vanity Cabinet-Double Door Sink Unit:650 x 450 mm:650 x 450 mm:205264,A204,36.3,12.9,Door
2gRXFgjRn2HPE$YoDLX0ra,M_Vanity Cabinet-Double Door Sink Unit:650 x 450 mm:650 x 450 mm:205265,A204,35.2,5.9,Door
2gRXFgjRn2HPE$YoDLX0vP,M_Vanity Cabinet-Double Door Sink Unit:450 x 450 mm:450 x 450 mm:205548,A104,22.9,10.7,Door
2kvhekJrnDjRw0CDkKW$UD,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:206283,B203,54.1,23.0,Other
2kvhekJrnDjRw0CDkKW$JW,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:206502,A202,62.9,17.0,Other
2kvhekJrnDjRw0CDkKW$KL,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:206675,B202,52.9,40.9,Other
2kvhekJrnDjRw0CDkKW$fQ,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:206876,A203,84.1,16.3,Other
